ID	SENTENCE	BLOCK	PATTERN_TYPE	ACTUAL	ACCEPTABLE
43	I like dogs , except bulldogs .	10	except-dogs	>	Y
44	I like bulldogs , except birds .	11	except-dogs	NR	N
45	I like birds , except bulldogs .	11	except-dogs	NR*	N
46	I like bulldogs , except dogs .	11	except-dogs	<	N
47	I like dogs , except bulldogs .	11	except-dogs	>	Y
48	I like beagles , except cats .	12	except-dogs	NR	N
49	I like cats , except beagles .	12	except-dogs	NR*	N
50	I like beagles , except dogs .	12	except-dogs	<	N
51	I like dogs , except beagles .	12	except-dogs	>	Y
52	I like beagles , except hamsters .	13	except-dogs	NR	N
53	I like hamsters , except beagles .	13	except-dogs	NR*	N
54	I like beagles , except dogs .	13	except-dogs	<	N
55	I like dogs , except beagles .	13	except-dogs	>	Y
56	I like beagles , except parrots .	14	except-dogs	NR	N
57	I like parrots , except beagles .	14	except-dogs	NR*	N
58	I like beagles , except dogs .	14	except-dogs	<	N
59	I like dogs , except beagles .	14	except-dogs	>	Y
60	I like beagles , except birds .	15	except-dogs	NR	N
61	I like birds , except beagles .	15	except-dogs	NR*	N
62	I like beagles , except dogs .	15	except-dogs	<	N
63	I like dogs , except beagles .	15	except-dogs	>	Y
64	I like parrots , except cats .	0	except-birds	NR	N
65	I like cats , except parrots .	0	except-birds	NR*	N
66	I like parrots , except birds .	0	except-birds	<	N
67	I like birds , except parrots .	0	except-birds	>	Y
68	I like parrots , except hamsters .	1	except-birds	NR	N
69	I like hamsters , except parrots .	1	except-birds	NR*	N
70	I like parrots , except birds .	1	except-birds	<	N
71	I like birds , except parrots .	1	except-birds	>	Y
72	I like parrots , except pigs .	2	except-birds	NR	N
73	I like pigs , except parrots .	2	except-birds	NR*	N
74	I like parrots , except birds .	2	except-birds	<	N
75	I like birds , except parrots .	2	except-birds	>	Y
76	I like parrots , except dogs .	3	except-birds	NR	N
77	I like dogs , except parrots .	3	except-birds	NR*	N
78	I like parrots , except birds .	3	except-birds	<	N
79	I like birds , except parrots .	3	except-birds	>	Y
80	I like ducks , except cats .	4	except-birds	NR	N
81	I like cats , except ducks .	4	except-birds	NR*	N
82	I like ducks , except birds .	4	except-birds	<	N
83	I like birds , except ducks .	4	except-birds	>	Y
84	I like ducks , except hamsters .	5	except-birds	NR	N
85	I like hamsters , except ducks .	5	except-birds	NR*	N
86	I like ducks , except birds .	5	except-birds	<	N
87	I like birds , except ducks .	5	except-birds	>	Y
88	I like ducks , except pigs .	6	except-birds	NR	N
89	I like pigs , except ducks .	6	except-birds	NR*	N
90	I like ducks , except birds .	6	except-birds	<	N
91	I like birds , except ducks .	6	except-birds	>	Y
92	I like ducks , except dogs .	7	except-birds	NR	N
93	I like dogs , except ducks .	7	except-birds	NR*	N
94	I like ducks , except birds .	7	except-birds	<	N
95	I like birds , except ducks .	7	except-birds	>	Y
96	I like blackbirds , except cats .	8	except-birds	NR	N
97	I like cats , except blackbirds .	8	except-birds	NR*	N
98	I like blackbirds , except birds .	8	except-birds	<	N
99	I like birds , except blackbirds .	8	except-birds	>	Y
100	I like blackbirds , except hamsters .	9	except-birds	NR	N
101	I like hamsters , except blackbirds .	9	except-birds	NR*	N
102	I like blackbirds , except birds .	9	except-birds	<	N
103	I like birds , except blackbirds .	9	except-birds	>	Y
104	I like blackbirds , except pigs .	10	except-birds	NR	N
105	I like pigs , except blackbirds .	10	except-birds	NR*	N
106	I like blackbirds , except birds .	10	except-birds	<	N
107	I like birds , except blackbirds .	10	except-birds	>	Y
108	I like blackbirds , except dogs .	11	except-birds	NR	N
109	I like dogs , except blackbirds .	11	except-birds	NR*	N
110	I like blackbirds , except birds .	11	except-birds	<	N
111	I like birds , except blackbirds .	11	except-birds	>	Y
112	I like sparrows , except cats .	12	except-birds	NR	N
113	I like cats , except sparrows .	12	except-birds	NR*	N
114	I like sparrows , except birds .	12	except-birds	<	N
115	I like birds , except sparrows .	12	except-birds	>	Y
116	I like sparrows , except hamsters .	13	except-birds	NR	N
117	I like hamsters , except sparrows .	13	except-birds	NR*	N
118	I like sparrows , except birds .	13	except-birds	<	N
119	I like birds , except sparrows .	13	except-birds	>	Y
120	I like sparrows , except pigs .	14	except-birds	NR	N
121	I like pigs , except sparrows .	14	except-birds	NR*	N
122	I like sparrows , except birds .	14	except-birds	<	N
123	I like birds , except sparrows .	14	except-birds	>	Y
124	I like sparrows , except dogs .	15	except-birds	NR	N
125	I like dogs , except sparrows .	15	except-birds	NR*	N
126	I like sparrows , except birds .	15	except-birds	<	N
127	I like birds , except sparrows .	15	except-birds	>	Y
128	I like cats , except reptiles .	0	except-mammals	NR	N
129	I like reptiles , except cats .	0	except-mammals	NR*	N
130	I like cats , except mammals .	0	except-mammals	<	N
131	I like mammals , except cats .	0	except-mammals	>	Y
132	I like cats , except birds .	1	except-mammals	NR	N
133	I like birds , except cats .	1	except-mammals	NR*	N
134	I like cats , except mammals .	1	except-mammals	<	N
135	I like mammals , except cats .	1	except-mammals	>	Y
136	I like cats , except insects .	2	except-mammals	NR	N
137	I like insects , except cats .	2	except-mammals	NR*	N
138	I like cats , except mammals .	2	except-mammals	<	N
139	I like mammals , except cats .	2	except-mammals	>	Y
140	I like cats , except frogs .	3	except-mammals	NR	N
141	I like frogs , except cats .	3	except-mammals	NR*	N
142	I like cats , except mammals .	3	except-mammals	<	N
143	I like mammals , except cats .	3	except-mammals	>	Y
144	I like dogs , except reptiles .	4	except-mammals	NR	N
145	I like reptiles , except dogs .	4	except-mammals	NR*	N
146	I like dogs , except mammals .	4	except-mammals	<	N
147	I like mammals , except dogs .	4	except-mammals	>	Y
148	I like dogs , except birds .	5	except-mammals	NR	N
149	I like birds , except dogs .	5	except-mammals	NR*	N
150	I like dogs , except mammals .	5	except-mammals	<	N
151	I like mammals , except dogs .	5	except-mammals	>	Y
152	I like dogs , except insects .	6	except-mammals	NR	N
153	I like insects , except dogs .	6	except-mammals	NR*	N
154	I like dogs , except mammals .	6	except-mammals	<	N
155	I like mammals , except dogs .	6	except-mammals	>	Y
156	I like dogs , except frogs .	7	except-mammals	NR	N
157	I like frogs , except dogs .	7	except-mammals	NR*	N
158	I like dogs , except mammals .	7	except-mammals	<	N
159	I like mammals , except dogs .	7	except-mammals	>	Y
160	I like horses , except reptiles .	8	except-mammals	NR	N
161	I like reptiles , except horses .	8	except-mammals	NR*	N
162	I like horses , except mammals .	8	except-mammals	<	N
163	I like mammals , except horses .	8	except-mammals	>	Y
164	I like horses , except birds .	9	except-mammals	NR	N
165	I like birds , except horses .	9	except-mammals	NR*	N
166	I like horses , except mammals .	9	except-mammals	<	N
167	I like mammals , except horses .	9	except-mammals	>	Y
168	I like horses , except insects .	10	except-mammals	NR	N
169	I like insects , except horses .	10	except-mammals	NR*	N
170	I like horses , except mammals .	10	except-mammals	<	N
171	I like mammals , except horses .	10	except-mammals	>	Y
172	I like horses , except frogs .	11	except-mammals	NR	N
173	I like frogs , except horses .	11	except-mammals	NR*	N
174	I like horses , except mammals .	11	except-mammals	<	N
175	I like mammals , except horses .	11	except-mammals	>	Y
176	I like cows , except reptiles .	12	except-mammals	NR	N
177	I like reptiles , except cows .	12	except-mammals	NR*	N
178	I like cows , except mammals .	12	except-mammals	<	N
179	I like mammals , except cows .	12	except-mammals	>	Y
180	I like cows , except birds .	13	except-mammals	NR	N
181	I like birds , except cows .	13	except-mammals	NR*	N
182	I like cows , except mammals .	13	except-mammals	<	N
183	I like mammals , except cows .	13	except-mammals	>	Y
184	I like cows , except insects .	14	except-mammals	NR	N
185	I like insects , except cows .	14	except-mammals	NR*	N
186	I like cows , except mammals .	14	except-mammals	<	N
187	I like mammals , except cows .	14	except-mammals	>	Y
188	I like cows , except frogs .	15	except-mammals	NR	N
189	I like frogs , except cows .	15	except-mammals	NR*	N
190	I like cows , except mammals .	15	except-mammals	<	N
191	I like mammals , except cows .	15	except-mammals	>	Y
192	I like Volvos , except motorcycles .	0	except-cars	NR	N
193	I like motorcycles , except Volvos .	0	except-cars	NR*	N
194	I like Volvos , except cars .	0	except-cars	<	N
195	I like cars , except Volvos .	0	except-cars	>	Y
196	I like Volvos , except bicycles .	1	except-cars	NR	N
197	I like bicycles , except Volvos .	1	except-cars	NR*	N
198	I like Volvos , except cars .	1	except-cars	<	N
199	I like cars , except Volvos .	1	except-cars	>	Y
200	I like Volvos , except trains .	2	except-cars	NR	N
201	I like trains , except Volvos .	2	except-cars	NR*	N
202	I like Volvos , except cars .	2	except-cars	<	N
203	I like cars , except Volvos .	2	except-cars	>	Y
204	I like Volvos , except airplanes .	3	except-cars	NR	N
205	I like planes , except Volvos .	3	except-cars	NR*	N
206	I like Volvos , except cars .	3	except-cars	<	N
207	I like cars , except Volvos .	3	except-cars	>	Y
208	I like Skodas , except motorcycles .	4	except-cars	NR	N
209	I like motorcycles , except Skodas .	4	except-cars	NR*	N
210	I like Skodas , except cars .	4	except-cars	<	N
211	I like cars , except Skodas .	4	except-cars	>	Y
212	I like Skodas , except bicycles .	5	except-cars	NR	N
213	I like bicycles , except Skodas .	5	except-cars	NR*	N
214	I like Skodas , except cars .	5	except-cars	<	N
215	I like cars , except Skodas .	5	except-cars	>	Y
216	I like Skodas , except trains .	6	except-cars	NR	N
217	I like trains , except Skodas .	6	except-cars	NR*	N
218	I like Skodas , except cars .	6	except-cars	<	N
219	I like cars , except Skodas .	6	except-cars	>	Y
220	I like Skodas , except airplanes .	7	except-cars	NR	N
221	I like planes , except Skodas .	7	except-cars	NR*	N
222	I like Skodas , except cars .	7	except-cars	<	N
223	I like cars , except Skodas .	7	except-cars	>	Y
224	I like Ferraris , except motorcycles .	8	except-cars	NR	N
225	I like motorcycles , except Ferraris .	8	except-cars	NR*	N
226	I like Ferraris , except cars .	8	except-cars	<	N
227	I like cars , except Ferraris .	8	except-cars	>	Y
228	I like Ferraris , except bicycles .	9	except-cars	NR	N
229	I like bicycles , except Ferraris .	9	except-cars	NR*	N
230	I like Ferraris , except cars .	9	except-cars	<	N
231	I like cars , except Ferraris .	9	except-cars	>	Y
232	I like Ferraris , except trains .	10	except-cars	NR	N
233	I like trains , except Ferraris .	10	except-cars	NR*	N
234	I like Ferraris , except cars .	10	except-cars	<	N
235	I like cars , except Ferraris .	10	except-cars	>	Y
236	I like Ferraris , except airplanes .	11	except-cars	NR	N
237	I like planes , except Ferraris .	11	except-cars	NR*	N
238	I like Ferraris , except cars .	11	except-cars	<	N
239	I like cars , except Ferraris .	11	except-cars	>	Y
240	I like Fords , except motorcycles .	12	except-cars	NR	N
241	I like motorcycles , except Fords .	12	except-cars	NR*	N
242	I like Fords , except cars .	12	except-cars	<	N
243	I like cars , except Fords .	12	except-cars	>	Y
244	I like Fords , except bicycles .	13	except-cars	NR	N
245	I like bicycles , except Fords .	13	except-cars	NR*	N
246	I like Fords , except cars .	13	except-cars	<	N
247	I like cars , except Fords .	13	except-cars	>	Y
248	I like Fords , except trains .	14	except-cars	NR	N
249	I like trains , except Fords .	14	except-cars	NR*	N
250	I like Fords , except cars .	14	except-cars	<	N
251	I like cars , except Fords .	14	except-cars	>	Y
252	I like Fords , except airplanes .	15	except-cars	NR	N
253	I like planes , except Fords .	15	except-cars	NR*	N
254	I like Fords , except cars .	15	except-cars	<	N
255	I like cars , except Fords .	15	except-cars	>	Y
256	I like Harley-Davidson , except cars .	0	except-motorcycles	NR	N
257	I like cars , except Harley-Davidson .	0	except-motorcycles	NR*	N
258	I like Harley-Davidson , except motorcycles .	0	except-motorcycles	<	N
259	I like motorcycles , except Harley-Davidson .	0	except-motorcycles	>	Y
260	I like Harley-Davidson , except bicycles .	1	except-motorcycles	NR	N
261	I like bicycles , except Harley-Davidson .	1	except-motorcycles	NR*	N
262	I like Harley-Davidson , except motorcycles .	1	except-motorcycles	<	N
263	I like motorcycles , except Harley-Davidson .	1	except-motorcycles	>	Y
264	I like Harley-Davidson , except trains .	2	except-motorcycles	NR	N
265	I like trains , except Harley-Davidson .	2	except-motorcycles	NR*	N
266	I like Harley-Davidson , except motorcycles .	2	except-motorcycles	<	N
267	I like motorcycles , except Harley-Davidson .	2	except-motorcycles	>	Y
268	I like Harley-Davidson , except airplanes .	3	except-motorcycles	NR	N
269	I like planes , except Harley-Davidson .	3	except-motorcycles	NR*	N
270	I like Harley-Davidson , except motorcycles .	3	except-motorcycles	<	N
271	I like motorcycles , except Harley-Davidson .	3	except-motorcycles	>	Y
272	I like Suzukis , except cars .	4	except-motorcycles	NR	N
273	I like cars , except Suzukis .	4	except-motorcycles	NR*	N
274	I like Suzukis , except motorcycles .	4	except-motorcycles	<	N
275	I like motorcycles , except Suzukis .	4	except-motorcycles	>	Y
276	I like Suzukis , except bicycles .	5	except-motorcycles	NR	N
277	I like bicycles , except Suzukis .	5	except-motorcycles	NR*	N
278	I like Suzukis , except motorcycles .	5	except-motorcycles	<	N
279	I like motorcycles , except Suzukis .	5	except-motorcycles	>	Y
280	I like Suzukis , except trains .	6	except-motorcycles	NR	N
281	I like trains , except Suzukis .	6	except-motorcycles	NR*	N
282	I like Suzukis , except motorcycles .	6	except-motorcycles	<	N
283	I like motorcycles , except Suzukis .	6	except-motorcycles	>	Y
284	I like Suzukis , except airplanes .	7	except-motorcycles	NR	N
285	I like planes , except Suzukis .	7	except-motorcycles	NR*	N
286	I like Suzukis , except motorcycles .	7	except-motorcycles	<	N
287	I like motorcycles , except Suzukis .	7	except-motorcycles	>	Y
288	I like enduros , except cars .	8	except-motorcycles	NR	N
289	I like cars , except enduros .	8	except-motorcycles	NR*	N
290	I like enduros , except motorcycles .	8	except-motorcycles	<	N
291	I like motorcycles , except enduros .	8	except-motorcycles	>	Y
292	I like enduros , except bicycles .	9	except-motorcycles	NR	N
293	I like bicycles , except enduros .	9	except-motorcycles	NR*	N
294	I like enduros , except motorcycles .	9	except-motorcycles	<	N
295	I like motorcycles , except enduros .	9	except-motorcycles	>	Y
296	I like enduros , except trains .	10	except-motorcycles	NR	N
297	I like trains , except enduros .	10	except-motorcycles	NR*	N
298	I like enduros , except motorcycles .	10	except-motorcycles	<	N
299	I like motorcycles , except enduros .	10	except-motorcycles	>	Y
300	I like enduros , except airplanes .	11	except-motorcycles	NR	N
301	I like planes , except enduros .	11	except-motorcycles	NR*	N
302	I like enduros , except motorcycles .	11	except-motorcycles	<	N
303	I like motorcycles , except enduros .	11	except-motorcycles	>	Y
304	I like Kawasakis , except cars .	12	except-motorcycles	NR	N
305	I like cars , except Kawasakis .	12	except-motorcycles	NR*	N
306	I like Kawasakis , except motorcycles .	12	except-motorcycles	<	N
307	I like motorcycles , except Kawasakis .	12	except-motorcycles	>	Y
308	I like Kawasakis , except bicycles .	13	except-motorcycles	NR	N
309	I like bicycles , except Kawasakis .	13	except-motorcycles	NR*	N
310	I like Kawasakis , except motorcycles .	13	except-motorcycles	<	N
311	I like motorcycles , except Kawasakis .	13	except-motorcycles	>	Y
312	I like Kawasakis , except trains .	14	except-motorcycles	NR	N
313	I like trains , except Kawasakis .	14	except-motorcycles	NR*	N
314	I like Kawasakis , except motorcycles .	14	except-motorcycles	<	N
315	I like motorcycles , except Kawasakis .	14	except-motorcycles	>	Y
316	I like Kawasakis , except airplanes .	15	except-motorcycles	NR	N
317	I like planes , except Kawasakis .	15	except-motorcycles	NR*	N
318	I like Kawasakis , except motorcycles .	15	except-motorcycles	<	N
319	I like motorcycles , except Kawasakis .	15	except-motorcycles	>	Y
320	I like forks , except plates .	0	except-cutlery	NR	N
321	I like plates , except forks .	0	except-cutlery	NR*	N
322	I like forks , except cutlery .	0	except-cutlery	<	N
323	I like cutlery , except forks .	0	except-cutlery	>	Y
324	I like forks , except glasses .	1	except-cutlery	NR	N
325	I like glasses , except forks .	1	except-cutlery	NR*	N
326	I like forks , except cutlery .	1	except-cutlery	<	N
327	I like cutlery , except forks .	1	except-cutlery	>	Y
328	I like forks , except pitchers .	2	except-cutlery	NR	N
329	I like pitchers , except forks .	2	except-cutlery	NR*	N
330	I like forks , except cutlery .	2	except-cutlery	<	N
331	I like cutlery , except forks .	2	except-cutlery	>	Y
332	I like spoons , except plates .	3	except-cutlery	NR	N
333	I like plates , except spoons .	3	except-cutlery	NR*	N
334	I like spoons , except cutlery .	3	except-cutlery	<	N
335	I like cutlery , except spoons .	3	except-cutlery	>	Y
336	I like spoons , except glasses .	4	except-cutlery	NR	N
337	I like glasses , except spoons .	4	except-cutlery	NR*	N
338	I like spoons , except cutlery .	4	except-cutlery	<	N
339	I like cutlery , except spoons .	4	except-cutlery	>	Y
340	I like spoons , except pitchers .	5	except-cutlery	NR	N
341	I like pitchers , except spoons .	5	except-cutlery	NR*	N
342	I like spoons , except cutlery .	5	except-cutlery	<	N
343	I like cutlery , except spoons .	5	except-cutlery	>	Y
344	I like knives , except plates .	6	except-cutlery	NR	N
345	I like plates , except knives .	6	except-cutlery	NR*	N
346	I like knives , except cutlery .	6	except-cutlery	<	N
347	I like cutlery , except knives .	6	except-cutlery	>	Y
348	I like knives , except glasses .	7	except-cutlery	NR	N
349	I like glasses , except knives .	7	except-cutlery	NR*	N
350	I like knives , except cutlery .	7	except-cutlery	<	N
351	I like cutlery , except knives .	7	except-cutlery	>	Y
352	I like knives , except pitchers .	8	except-cutlery	NR	N
353	I like pitchers , except knives .	8	except-cutlery	NR*	N
354	I like knives , except cutlery .	8	except-cutlery	<	N
355	I like cutlery , except knives .	8	except-cutlery	>	Y
356	I like shirts , except dogs .	0	except-jewelry	NR	N
357	I like dogs , except shirts .	0	except-jewelry	NR*	N
358	I like shirts , except clothes .	0	except-jewelry	<	N
359	I like clothes , except shirts .	0	except-jewelry	>	Y
360	I like shirts , except jewelry .	1	except-jewelry	NR	N
361	I like jewelry , except shirts .	1	except-jewelry	NR*	N
362	I like shirts , except clothes .	1	except-jewelry	<	N
363	I like clothes , except shirts .	1	except-jewelry	>	Y
364	I like shirts , except traveling .	2	except-jewelry	NR	N
365	I like traveling , except shirts .	2	except-jewelry	NR*	N
366	I like shirts , except clothes .	2	except-jewelry	<	N
367	I like clothes , except shirts .	2	except-jewelry	>	Y
368	I like shirts , except naturism .	3	except-jewelry	NR	N
369	I like naturism , except shirts .	3	except-jewelry	NR*	N
370	I like shirts , except clothes .	3	except-jewelry	<	N
371	I like clothes , except shirts .	3	except-jewelry	>	Y
372	I like trousers , except dogs .	4	except-jewelry	NR	N
373	I like dogs , except trousers .	4	except-jewelry	NR*	N
374	I like trousers , except clothes .	4	except-jewelry	<	N
375	I like clothes , except trousers .	4	except-jewelry	>	Y
376	I like trousers , except jewelry .	5	except-jewelry	NR	N
377	I like jewelry , except trousers .	5	except-jewelry	NR*	N
378	I like trousers , except clothes .	5	except-jewelry	<	N
379	I like clothes , except trousers .	5	except-jewelry	>	Y
380	I like trousers , except traveling .	6	except-jewelry	NR	N
381	I like traveling , except trousers .	6	except-jewelry	NR*	N
382	I like trousers , except clothes .	6	except-jewelry	<	N
383	I like clothes , except trousers .	6	except-jewelry	>	Y
384	I like trousers , except naturism .	7	except-jewelry	NR	N
385	I like naturism , except trousers .	7	except-jewelry	NR*	N
386	I like trousers , except clothes .	7	except-jewelry	<	N
387	I like clothes , except trousers .	7	except-jewelry	>	Y
388	I like socks , except dogs .	8	except-jewelry	NR	N
389	I like dogs , except socks .	8	except-jewelry	NR*	N
390	I like socks , except clothes .	8	except-jewelry	<	N
391	I like clothes , except socks .	8	except-jewelry	>	Y
392	I like socks , except jewelry .	9	except-jewelry	NR	N
393	I like jewelry , except socks .	9	except-jewelry	NR*	N
394	I like socks , except clothes .	9	except-jewelry	<	N
395	I like clothes , except socks .	9	except-jewelry	>	Y
396	I like socks , except traveling .	10	except-jewelry	NR	N
397	I like traveling , except socks .	10	except-jewelry	NR*	N
398	I like socks , except clothes .	10	except-jewelry	<	N
399	I like clothes , except socks .	10	except-jewelry	>	Y
400	I like socks , except naturism .	11	except-jewelry	NR	N
401	I like naturism , except socks .	11	except-jewelry	NR*	N
402	I like socks , except clothes .	11	except-jewelry	<	N
403	I like clothes , except socks .	11	except-jewelry	>	Y
404	I like jeans , except dogs .	12	except-jewelry	NR	N
405	I like dogs , except jeans .	12	except-jewelry	NR*	N
406	I like jeans , except clothes .	12	except-jewelry	<	N
407	I like clothes , except jeans .	12	except-jewelry	>	Y
408	I like jeans , except jewelry .	13	except-jewelry	NR	N
409	I like jewelry , except jeans .	13	except-jewelry	NR*	N
410	I like jeans , except clothes .	13	except-jewelry	<	N
411	I like clothes , except jeans .	13	except-jewelry	>	Y
412	I like jeans , except traveling .	14	except-jewelry	NR	N
413	I like traveling , except jeans .	14	except-jewelry	NR*	N
414	I like jeans , except clothes .	14	except-jewelry	<	N
415	I like clothes , except jeans .	14	except-jewelry	>	Y
416	I like jeans , except naturism .	15	except-jewelry	NR	N
417	I like naturism , except jeans .	15	except-jewelry	NR*	N
418	I like jeans , except clothes .	15	except-jewelry	<	N
419	I like clothes , except jeans .	15	except-jewelry	>	Y
420	I like London , except towns .	0	except-cities-name	NR	N
421	I like towns , except London .	0	except-cities-name	NR*	N
422	I like London , except cities .	0	except-cities-name	<	N
423	I like cities , except London .	0	except-cities-name	>	Y
424	I like London , except villages .	1	except-cities-name	NR	N
425	I like villages , except London .	1	except-cities-name	NR*	N
426	I like London , except cities .	1	except-cities-name	<	N
427	I like cities , except London .	1	except-cities-name	>	Y
428	I like London , except settlements .	2	except-cities-name	NR	N
429	I like settlements , except London .	2	except-cities-name	NR*	N
430	I like London , except cities .	2	except-cities-name	<	N
431	I like cities , except London .	2	except-cities-name	>	Y
432	I like London , except camps .	3	except-cities-name	NR	N
433	I like camps , except London .	3	except-cities-name	NR*	N
434	I like London , except cities .	3	except-cities-name	<	N
435	I like cities , except London .	3	except-cities-name	>	Y
436	I like Rome , except towns .	4	except-cities-name	NR	N
437	I like towns , except Rome .	4	except-cities-name	NR*	N
438	I like Rome , except cities .	4	except-cities-name	<	N
439	I like cities , except Rome .	4	except-cities-name	>	Y
440	I like Rome , except villages .	5	except-cities-name	NR	N
441	I like villages , except Rome .	5	except-cities-name	NR*	N
442	I like Rome , except cities .	5	except-cities-name	<	N
443	I like cities , except Rome .	5	except-cities-name	>	Y
444	I like Rome , except settlements .	6	except-cities-name	NR	N
445	I like settlements , except Rome .	6	except-cities-name	NR*	N
446	I like Rome , except cities .	6	except-cities-name	<	N
447	I like cities , except Rome .	6	except-cities-name	>	Y
448	I like Rome , except camps .	7	except-cities-name	NR	N
449	I like camps , except Rome .	7	except-cities-name	NR*	N
450	I like Rome , except cities .	7	except-cities-name	<	N
451	I like cities , except Rome .	7	except-cities-name	>	Y
452	I like Paris , except towns .	8	except-cities-name	NR	N
453	I like towns , except Paris .	8	except-cities-name	NR*	N
454	I like Paris , except cities .	8	except-cities-name	<	N
455	I like cities , except Paris .	8	except-cities-name	>	Y
456	I like Paris , except villages .	9	except-cities-name	NR	N
457	I like villages , except Paris .	9	except-cities-name	NR*	N
458	I like Paris , except cities .	9	except-cities-name	<	N
459	I like cities , except Paris .	9	except-cities-name	>	Y
460	I like Paris , except settlements .	10	except-cities-name	NR	N
461	I like settlements , except Paris .	10	except-cities-name	NR*	N
462	I like Paris , except cities .	10	except-cities-name	<	N
463	I like cities , except Paris .	10	except-cities-name	>	Y
464	I like Paris , except camps .	11	except-cities-name	NR	N
465	I like camps , except Paris .	11	except-cities-name	NR*	N
466	I like Paris , except cities .	11	except-cities-name	<	N
467	I like cities , except Paris .	11	except-cities-name	>	Y
468	I like Amsterdam , except towns .	12	except-cities-name	NR	N
469	I like towns , except Amsterdam .	12	except-cities-name	NR*	N
470	I like Amsterdam , except cities .	12	except-cities-name	<	N
471	I like cities , except Amsterdam .	12	except-cities-name	>	Y
472	I like Amsterdam , except villages .	13	except-cities-name	NR	N
473	I like villages , except Amsterdam .	13	except-cities-name	NR*	N
474	I like Amsterdam , except cities .	13	except-cities-name	<	N
475	I like cities , except Amsterdam .	13	except-cities-name	>	Y
476	I like Amsterdam , except settlements .	14	except-cities-name	NR	N
477	I like settlements , except Amsterdam .	14	except-cities-name	NR*	N
478	I like Amsterdam , except cities .	14	except-cities-name	<	N
479	I like cities , except Amsterdam .	14	except-cities-name	>	Y
480	I like Amsterdam , except camps .	15	except-cities-name	NR	N
481	I like camps , except Amsterdam .	15	except-cities-name	NR*	N
482	I like Amsterdam , except cities .	15	except-cities-name	<	N
483	I like cities , except Amsterdam .	15	except-cities-name	>	Y
484	I like oaks , except grass .	0	except-birds	NR	N
485	I like grass , except oaks .	0	except-birds	NR*	N
486	I like oaks , except trees .	0	except-birds	<	N
487	I like trees , except oaks .	0	except-birds	>	Y
488	I like oaks , except animals .	1	except-birds	NR	N
489	I like animals , except oaks .	1	except-birds	NR*	N
490	I like oaks , except trees .	1	except-birds	<	N
491	I like trees , except oaks .	1	except-birds	>	Y
492	I like oaks , except bushes .	2	except-birds	NR	N
493	I like bushes , except oaks .	2	except-birds	NR*	N
494	I like oaks , except trees .	2	except-birds	<	N
495	I like trees , except oaks .	2	except-birds	>	Y
496	I like oaks , except shrubs .	3	except-birds	NR	N
497	I like shrubs , except oaks .	3	except-birds	NR*	N
498	I like oaks , except trees .	3	except-birds	<	N
499	I like trees , except oaks .	3	except-birds	>	Y
500	I like birches , except grass .	4	except-birds	NR	N
501	I like grass , except birches .	4	except-birds	NR*	N
